Приоритет;Направление (пункты клиента);Что это;Материалы;Есть на сайте;Текущая страница;Предлагаемая страница;Главные запросы (Ahrefs RU, мес.);Объём группы, Ahrefs RU (Google);Комментарий
P2;23. Хим. фосфатирование с оксидированием;Фосфатирование стали (под покраску, с оксидированием);Углеродистые и легированные стали;Нет;—;/uslugi/galvanicheskie-pokrytiya/fosfatirovanie/;фосфатирование 300, фосфатирование металла 150, химическое фосфатирование 40;490;Близко к P1
P2;12. Ан. Окс. аноцвет (титан);Цветное анодирование титана;Титановые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/anodirovanie-titana/;анодирование титана 400;400;Один сильный запрос — отдельная страница оправдана
P2;19. Серебрение;Гальваническое серебрение по чертежам (контакты, токопроводящие детали);Стали, медные, алюминиевые, титановые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/serebrenie/;серебрение 150, гальваническое серебрение 150, серебрение металла 50;350;
P2;27. Шлифовка продольная;Требует уточнения: плоское шлифование на станке ИЛИ продольная (линейная) шлифовка листа;—;Под вопросом;/uslugi/shlifovanie/ (шлифовка листа P80–P400);/uslugi/ploskaya-shlifovka/ или доработка /uslugi/shlifovanie/;шлифовка металла 250, шлифовка нержавейки 70 (Wordstat точная 65), плоская шлифовка 30, плоское шлифование 20;300;Уточнить у клиента смысл: если это линейная шлифовка листа — существующая страница уже закрывает
P2;16. Оловянирование (+ 17. Олово-висмут);Гальваническое лужение (олово, олово-висмут матовое) под пайку;Медные, алюминиевые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/olovyanirovanie/;лужение 200 (много бытового), оловянирование 40, лужение меди 40, покрытие олово-висмут 40, олово висмут покрытие 40;370;Олово-висмут — разделом на этой странице
P2;3. Меднение;Гальваническое меднение (подслой, токопроводящее);Стали, медные, алюминиевые, титановые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/mednenie/;меднение 100, меднение металла 70, гальваническое меднение 60, меднение алюминия 40;270;
P2;20. Золочение;Гальваническое золочение по чертежам;Медные сплавы и др.;Нет;—;/uslugi/galvanicheskie-pokrytiya/zolochenie/;гальваническое золочение 150, золочение 100;250;«золочение» частично про декор и иконы — в тексте акцент на технические детали
P2;2 / 21. Кадмирование (бцв, хр) + 22 / 24. Кадмирование фосфатированное (с оксидированием);Кадмирование с пассивацией, фосфатированием, оксидированием;Углеродистые и легированные стали;Нет;—;/uslugi/galvanicheskie-pokrytiya/kadmirovanie/;кадмирование 200, кадмирование деталей 30, кадмирование с фосфатированием 0;230;Пункты 2, 21, 22, 24 у клиента дублируются — одна страница с разделами
P3;15. Хим. Окс. э (алюминий);Химическое оксидирование алюминия, электропроводное (хроматирование, алодирование);Алюминиевые сплавы;Нет;—;раздел на странице анодирования;хроматирование 80, химическое оксидирование алюминия 40, хроматирование алюминия 10;130;
P3;28. Шлифовка круглая;Круглое шлифование валов, осей, прутка;Стали;Нет;—;/uslugi/kruglaya-shlifovka/;круглая шлифовка 60, круглое шлифование 40, круглошлифовальные работы 20;120;Можно объединить с плоской шлифовкой в одну страницу «Шлифовальные работы»
P3;5. Химическое никелирование;Равномерное никель-фосфорное покрытие без тока;Стали, медные, алюминиевые сплавы;Нет;—;раздел на странице никелирования;химическое никелирование 100;100;Если Wordstat покажет заметно больше — вынести отдельной страницей
P3;11. Ан. Окс. тв 20–40 / 40–60 мкм;Твёрдое анодирование алюминия;Алюминиевые сплавы;Нет;—;раздел на странице анодирования;твердое анодирование алюминия 40, твердое анодирование 20;60;
P3;13. Ан. Окс. эмт;Эматалирование алюминия;Алюминиевые сплавы;Нет;—;раздел на странице анодирования;эматалирование 10;10;
P3;14. Ан. Окс. хром;Хромовокислое анодирование;Алюминиевые сплавы;Нет;—;раздел на странице анодирования;нет данных в Ahrefs;0;
P3;7. Электроплазменная полировка;Полировка в электролитной плазме;Стали (в т.ч. нерж.), медные сплавы;Нет;—;раздел на странице ЭХП;электроплазменная полировка 0, плазменная полировка 0;0;В Google спроса нет — проверить в Wordstat
P3;26. Свинцевание;Гальваническое свинцевание;—;Нет;—;строка в хабе гальванических покрытий;свинцевание 0;0;Отдельная страница не нужна
